Date,Apple,Amazon,BofA,Bitcoin,Citi,Oil,Ethereum,Euro,Pound,Gold,Google,Yen,Microsoft,SHY,Silver,Wells_Fargo,Ripple,DJIA,S&P500,T_Bill_13W,Nasdaq,Russell2000,Bond_10Y,Bond_30Y
2017-11-09,41.78837966918945,1129.1300048828125,24.080204010009766,7143.580078125,63.113887786865234,57.16999816894531,320.8840026855469,1.15968918800354,1.3113033771514893,1285.5999755859375,1031.260009765625,113.927001953125,79.36730194091797,79.73593139648438,16.94300079345703,47.36765670776367,0.21748800575733185,23461.939453125,2584.6201171875,1.2029999494552612,6750.0498046875,1475.02001953125,2.3310000896453857,2.805999994277954
2017-11-10,41.650062561035156,1125.3499755859375,24.0983829498291,6618.14013671875,62.957035064697266,56.7400016784668,299.25299072265625,1.164686679840088,1.3144404888153076,1272.4000244140625,1028.0699462890625,113.375,79.15963745117188,79.70751953125,16.8439998626709,47.20100021362305,0.20648300647735596,23422.2109375,2582.300048828125,1.2000000476837158,6750.93994140625,1475.27001953125,2.4000000953674316,2.880000114440918
2017-11-13,41.483154296875,1129.1700439453125,23.99839210510254,6559.490234375,62.73046875,56.7599983215332,316.71600341796875,1.1661127805709839,1.312026023864746,1277.300048828125,1025.75,113.68599700927734,79.21626281738281,79.6980209350586,17.023000717163086,47.12205123901367,0.20344200730323792,23439.69921875,2584.840087890625,1.184999942779541,6757.60009765625,1475.0699462890625,2.4000000953674316,2.86899995803833
2017-11-14,40.85602569580078,1136.8399658203125,23.85294532775879,6635.75,62.329654693603516,55.70000076293945,337.6310119628906,1.1664936542510986,1.3123359680175781,1281.5,1026.0,113.58499908447266,79.32952880859375,79.71697998046875,17.052000045776367,47.402740478515625,0.20982499420642853,23409.470703125,2578.8701171875,1.2400000095367432,6737.8701171875,1471.260009765625,2.38100004196167,2.8389999866485596
2017-11-15,40.3171272277832,1126.68994140625,24.352914810180664,7315.5400390625,62.503929138183594,55.33000183105469,333.35699462890625,1.1792869567871094,1.3157894611358643,1276.5,1020.9099731445312,113.4020004272461,78.71296691894531,79.68856048583984,16.950000762939453,47.14836502075195,0.2129559963941574,23271.279296875,2564.6201171875,1.2300000190734863,6706.2099609375,1464.0899658203125,2.3350000381469727,2.7809998989105225
2017-11-17,40.572269439697266,1129.8800048828125,24.198381423950195,7708.990234375,62.15537643432617,56.54999923706055,332.3940124511719,1.1777453422546387,1.3200448751449585,1295.800048828125,1019.0900268554688,113.02799987792969,78.16278076171875,79.65066528320312,17.357999801635742,47.49923324584961,0.22658100724220276,23358.240234375,2578.85009765625,1.2400000095367432,6782.7900390625,1492.8199462890625,2.3540000915527344,2.7929999828338623
2017-11-20,40.53173828125,1126.31005859375,24.30746078491211,8200.6396484375,62.78276824951172,56.09000015258789,366.7300109863281,1.1731857061386108,1.3202714920043945,1274.5999755859375,1018.3800048828125,112.03800201416016,78.28609466552734,79.62226104736328,16.82699966430664,47.41151809692383,0.23875899612903595,23430.330078125,2582.139892578125,1.2400000095367432,6790.7099609375,1503.4000244140625,2.371999979019165,2.7929999828338623
2017-11-21,41.285240173339844,1139.489990234375,24.29837417602539,8071.259765625,63.07032775878906,56.83000183105469,360.4010009765625,1.1741223335266113,1.3245033025741577,1281.0999755859375,1034.489990234375,112.5510025024414,79.41490936279297,79.6032943725586,16.948999404907227,47.823787689208984,0.23327100276947021,23590.830078125,2599.030029296875,1.277999997138977,6862.47998046875,1518.8900146484375,2.36299991607666,2.763000011444092
2017-11-22,41.719207763671875,1156.1600341796875,24.234739303588867,8253.5498046875,62.96575164794922,58.02000045776367,380.6520080566406,1.173722743988037,1.3245558738708496,1291.5999755859375,1035.9599609375,112.34100341796875,78.83626556396484,79.66962432861328,17.10099983215332,47.420284271240234,0.23885899782180786,23526.1796875,2597.080078125,1.2649999856948853,6867.35986328125,1516.760009765625,2.322000026702881,2.746000051498413
2017-11-24,41.72161102294922,1186.0,24.171106338500977,8253.6904296875,62.756595611572266,58.95000076293945,474.9110107421875,1.1853959560394287,1.330672025680542,1286.699951171875,1040.6099853515625,111.25399780273438,78.97854614257812,79.66962432861328,16.981000900268555,47.446598052978516,0.2446420043706894,23557.990234375,2602.419921875,1.2400000095367432,6889.16015625,1519.1600341796875,2.3399999141693115,2.76200008392334
